IdFuente,TipoFuente,FechaCarga
F00288,Archivo,2025-09-23
F00289,BaseDatos,2025-03-11
F00290,BaseDatos,2024-08-13
F00291,API,2024-04-11
F00292,BaseDatos,2023-12-15
F00293,Manual,2025-02-07
F00294,API,2025-07-17
F00295,Manual,2024-04-21
F00296,BaseDatos,2024-10-27
F00297,Web,2024-05-26
F00298,Manual,2024-08-05
F00299,BaseDatos,2025-03-12
F00300,API,2024-08-02
F00301,Manual,2025-01-12
F00302,Archivo,2024-12-29
F00303,Archivo,2024-02-02
F00304,Web,2024-09-23
F00305,Manual,2025-01-30
F00306,Manual,2025-09-17
F00307,Manual,2024-05-08
F00308,Archivo,2025-01-22
F00309,Manual,2024-01-13
F00310,BaseDatos,2024-07-05
F00311,Web,2023-12-24
F00312,Manual,2024-01-03
F00313,Archivo,2025-02-21
F00314,BaseDatos,2024-09-06
F00315,Archivo,2025-06-14
F00316,Archivo,2024-08-29
F00317,Manual,2024-07-13
F00318,Web,2023-09-30
F00319,Manual,2024-08-19
F00320,API,2025-03-31
F00321,BaseDatos,2023-12-02
F00322,Manual,2024-08-14
F00323,BaseDatos,2024-12-23
F00324,BaseDatos,2024-05-28
F00325,BaseDatos,2024-10-03
F00326,Web,2024-07-13
F00327,API,2025-04-27
F00328,Manual,2024-12-09
F00329,Manual,2024-11-11
F00330,API,2023-12-13
F00331,Archivo,2024-04-05
F00332,Manual,2025-05-09
F00333,Archivo,2024-08-08
F00334,Manual,2024-10-03
F00335,Web,2024-01-24
F00336,Web,2024-03-12
F00337,BaseDatos,2024-04-04
F00338,Web,2024-05-16
F00339,Archivo,2025-08-23
F00340,Web,2024-08-09
F00341,BaseDatos,2025-09-06
F00342,Manual,2024-04-16
F00343,Archivo,2025-05-01
F00344,BaseDatos,2024-07-28
F00345,Archivo,2025-03-24
F00346,Archivo,2024-12-09
F00347,Manual,2024-05-18
F00348,Archivo,2025-04-09
F00349,Manual,2025-03-05
F00350,Web,2024-10-17
F00351,BaseDatos,2024-07-17
F00352,BaseDatos,2024-11-26
F00353,Manual,2024-03-31
F00354,Web,2024-03-25
F00355,Manual,2024-07-20
F00356,API,2025-04-09
F00357,BaseDatos,2024-02-06
F00358,Archivo,2023-12-22
F00359,Archivo,2025-01-15
F00360,Archivo,2025-07-02
F00361,Archivo,2025-02-11
F00362,Archivo,2024-10-17
F00363,Manual,2025-09-06
F00364,API,2024-12-08
F00365,BaseDatos,2025-08-21
F00366,Web,2024-07-19
F00367,Archivo,2024-08-18
F00368,API,2025-01-30
F00369,BaseDatos,2025-04-05
F00370,Archivo,2025-01-18
F00371,Archivo,2025-08-29
F00372,Web,2025-05-14
F00373,Archivo,2025-01-11
F00374,BaseDatos,2024-10-28
F00375,API,2024-07-26
F00376,Archivo,2024-06-30
F00377,API,2025-07-29
F00378,Archivo,2024-12-12
F00379,API,2024-03-27
F00380,Web,2025-04-21
F00381,Manual,2025-05-17
F00382,API,2024-01-13
F00383,API,2023-11-20
F00384,Web,2025-05-25
F00385,Web,2024-06-19
F00386,Manual,2024-08-30
F00387,BaseDatos,2025-05-10
F00388,BaseDatos,2025-05-31
F00389,Archivo,2024-04-04
F00390,BaseDatos,2024-08-31
F00391,API,2024-10-13
F00392,API,2024-12-01
F00393,BaseDatos,2025-04-19
F00394,Web,2025-03-26
F00395,Manual,2025-05-16
F00396,BaseDatos,2023-10-06
F00397,BaseDatos,2023-12-07
F00398,API,2025-06-03
F00399,Web,2024-11-22
F00400,Manual,2025-07-24
F00401,BaseDatos,2024-10-23
F00402,API,2025-09-23
F00403,Web,2023-10-01
F00404,BaseDatos,2024-10-15
F00405,Archivo,2024-02-09
F00406,Manual,2025-09-20
F00407,Web,2024-06-03
F00408,Web,2025-08-31
F00409,Archivo,2024-06-04
F00410,Archivo,2025-05-31
F00411,Web,2024-10-10
F00412,BaseDatos,2024-08-26
F00413,Archivo,2024-05-03
F00414,Manual,2024-11-13
F00415,API,2024-08-17
F00416,Web,2023-11-16
F00417,BaseDatos,2025-04-27
F00418,Web,2025-07-07
F00419,Manual,2024-01-27
F00420,Web,2024-03-21
F00421,Archivo,2023-11-21
F00422,Manual,2024-10-16
F00423,Manual,2024-09-02
F00424,BaseDatos,2024-06-07
F00425,API,2025-01-13
F00426,Archivo,2025-08-31
F00427,Manual,2025-03-15
F00428,Manual,2025-01-09
F00429,Archivo,2023-12-24
F00430,Archivo,2024-12-27
F00431,Archivo,2023-12-18
F00432,Archivo,2023-12-11
F00433,Archivo,2024-04-27
F00434,Archivo,2023-10-22
F00435,API,2025-01-05
F00436,Archivo,2023-12-21
F00437,Manual,2024-12-01
F00438,BaseDatos,2025-06-07
F00439,BaseDatos,2023-10-28
F00440,BaseDatos,2023-12-08
F00441,API,2025-02-10
F00442,Web,2025-07-10
F00443,API,2025-03-05
F00444,Web,2024-10-26
F00445,Archivo,2024-04-24
F00446,Web,2024-07-19
F00447,Manual,2023-11-07
F00448,API,2024-05-25
F00449,Web,2025-04-19
F00450,BaseDatos,2024-11-12
F00451,BaseDatos,2024-08-01
F00452,Manual,2025-04-11
F00453,BaseDatos,2023-12-31
F00454,BaseDatos,2024-10-06
F00455,Web,2025-04-12
F00456,Archivo,2025-04-15
F00457,API,2024-08-30
F00458,API,2024-12-26
F00459,BaseDatos,2025-06-25
F00460,Archivo,2024-06-17
F00461,Archivo,2024-07-29
F00462,Manual,2024-12-29
F00463,Manual,2024-02-04
F00464,BaseDatos,2024-07-01
F00465,API,2023-10-02
F00466,API,2024-02-05
F00467,BaseDatos,2023-11-12
F00468,BaseDatos,2025-09-22
F00469,Manual,2025-03-22
F00470,BaseDatos,2023-12-13
F00471,API,2025-06-11
F00472,Archivo,2023-12-06
F00473,API,2023-11-07
F00474,Web,2024-02-07
F00475,Web,2024-01-29
F00476,BaseDatos,2025-04-15
F00477,Archivo,2025-05-31
F00478,Web,2025-06-12
F00479,API,2025-06-22
F00480,Manual,2024-03-28
F00481,API,2023-10-18
F00482,Archivo,2024-08-20
F00483,API,2025-03-03
F00484,BaseDatos,2024-07-11
F00485,API,2024-02-04
F00486,Web,2025-08-21
F00487,Manual,2024-12-03
F00488,Web,2024-08-20
F00489,Web,2025-07-23
F00490,BaseDatos,2024-06-28
F00491,API,2024-08-15
F00492,BaseDatos,2024-05-30
F00493,BaseDatos,2023-12-11
F00494,Manual,2023-12-16
F00495,Manual,2024-09-23
F00496,BaseDatos,2023-10-13
F00497,BaseDatos,2025-06-03
F00498,BaseDatos,2025-04-21
F00499,API,2024-08-10
F00500,API,2025-06-26
F00501,Manual,2024-08-16
F00502,Web,2023-12-29
F00503,Archivo,2024-12-19
F00504,Web,2025-02-17
F00505,Web,2025-01-15
F00506,API,2023-10-14
F00507,BaseDatos,2024-12-12
F00508,Archivo,2024-01-23
F00509,BaseDatos,2025-07-09
F00510,Archivo,2025-02-11
F00511,API,2023-11-20
F00512,API,2024-04-05
F00513,BaseDatos,2024-08-20
F00514,Manual,2025-02-07
F00515,Manual,2023-10-26
F00516,Archivo,2024-03-28
F00517,Archivo,2023-09-30
F00518,Archivo,2025-03-18
F00519,BaseDatos,2024-10-22
F00520,Web,2025-01-23
F00521,Web,2024-05-10
F00522,BaseDatos,2024-09-12
F00523,Web,2025-06-03
F00524,Manual,2024-04-01
F00525,BaseDatos,2024-01-26
F00526,BaseDatos,2023-12-15
F00527,BaseDatos,2024-08-17
F00528,Web,2025-07-31
F00529,BaseDatos,2024-06-15
F00530,Web,2024-05-12
F00531,BaseDatos,2024-11-04
F00532,Archivo,2023-10-07
F00533,Manual,2024-03-25
F00534,API,2025-07-18
F00535,BaseDatos,2024-12-31
F00536,Archivo,2025-04-16
F00537,Web,2025-08-08
F00538,Web,2025-05-24
F00539,Manual,2023-10-02
F00540,API,2024-09-01
F00541,BaseDatos,2025-03-14
F00542,BaseDatos,2025-09-17
F00543,Manual,2023-11-12
F00544,Manual,2024-05-11
F00545,Manual,2023-10-19
F00546,BaseDatos,2024-11-15
F00547,Web,2024-11-18
F00548,Archivo,2024-05-19
F00549,BaseDatos,2024-01-13
F00550,Manual,2025-05-28
F00551,Archivo,2023-12-17
F00552,Manual,2025-02-24
F00553,Archivo,2024-09-17
F00554,BaseDatos,2023-12-06
F00555,Manual,2025-03-08
F00556,Archivo,2025-04-09
F00557,Archivo,2025-07-30
F00558,Archivo,2024-05-01
F00559,BaseDatos,2023-10-25
F00560,Archivo,2025-07-25
F00561,Manual,2024-06-27
F00562,Web,2024-04-08
F00563,API,2025-06-08
F00564,Archivo,2023-11-17
F00565,Archivo,2024-06-29
F00566,Web,2025-01-03
F00567,Web,2025-09-10
F00568,Manual,2025-03-24
F00569,Archivo,2024-02-05
F00570,API,2024-09-24
F00571,Web,2025-06-05
F00572,API,2024-08-22
F00573,Web,2024-06-05
F00574,Web,2023-11-03
F00575,Web,2024-01-29
F00576,API,2024-10-09
F00577,Manual,2024-04-05
F00578,Manual,2024-01-13
F00579,BaseDatos,2025-05-16
F00580,Web,2025-01-22
F00581,API,2024-07-18
F00582,Archivo,2025-06-02
F00583,Manual,2025-02-18
F00584,API,2024-08-19
F00585,Manual,2025-02-28
F00586,Archivo,2025-07-15
F00587,API,2025-02-08
F00588,Archivo,2024-12-13
F00589,BaseDatos,2023-09-25
F00590,Manual,2024-07-29
F00591,API,2024-10-13
F00592,Archivo,2023-10-04
F00593,Archivo,2024-08-31
F00594,API,2024-02-11
F00595,Manual,2024-12-01
F00596,Manual,2025-03-18
F00597,API,2025-09-08
F00598,API,2023-12-04
F00599,API,2025-07-11
F00600,Web,2024-02-26
F00601,API,2024-01-26
F00602,Web,2025-04-08
F00603,Manual,2024-07-20
F00604,BaseDatos,2024-01-07
F00605,Web,2024-07-03
F00606,Manual,2025-06-20
F00607,Web,2024-08-12
F00608,Archivo,2024-03-31
F00609,API,2025-07-20
F00610,Archivo,2024-01-06
F00611,BaseDatos,2024-12-25
F00612,Manual,2024-09-11
F00613,API,2023-10-29
F00614,API,2025-08-22
F00615,Archivo,2023-11-08
F00616,Manual,2025-09-16
F00617,API,2023-10-30
F00618,Manual,2023-11-29
F00619,BaseDatos,2024-07-04
F00620,Web,2024-11-23
F00621,Manual,2025-03-04
F00622,Manual,2025-01-26
F00623,BaseDatos,2024-02-08
F00624,Web,2024-03-08
F00625,Web,2024-11-18
F00626,BaseDatos,2025-07-02
F00627,BaseDatos,2025-07-05
F00628,Archivo,2025-07-07
F00629,Archivo,2024-05-12
F00630,BaseDatos,2023-12-26
F00631,Archivo,2025-06-16
F00632,Manual,2025-09-17
F00633,Manual,2024-10-30
F00634,Archivo,2024-12-23
F00635,Web,2024-10-10
F00636,API,2025-01-20
F00637,Archivo,2025-05-23
F00638,Web,2025-07-02
F00639,API,2024-09-19
F00640,BaseDatos,2025-04-06
F00641,Web,2024-08-05
F00642,BaseDatos,2024-10-17
F00643,Manual,2024-02-23
F00644,Archivo,2023-10-21
F00645,BaseDatos,2025-08-11
F00646,BaseDatos,2023-10-21
F00647,Web,2025-02-28
F00648,API,2023-12-11
F00649,Web,2025-03-22
F00650,Manual,2025-06-06
F00651,Manual,2024-01-17
F00652,Archivo,2024-11-21
F00653,Archivo,2023-11-08
F00654,Web,2023-11-16
F00655,BaseDatos,2023-11-17
F00656,BaseDatos,2025-01-25
F00657,Archivo,2024-06-05
F00658,Web,2023-10-07
F00659,Manual,2024-11-29
F00660,BaseDatos,2025-03-09
F00661,Web,2024-09-03
F00662,Archivo,2025-05-20
F00663,Manual,2023-10-18
F00664,BaseDatos,2024-02-20
F00665,API,2024-01-26
F00666,BaseDatos,2024-10-17
F00667,BaseDatos,2024-07-17
F00668,Manual,2025-07-19
F00669,Manual,2025-01-13
F00670,Archivo,2024-10-06
F00671,BaseDatos,2024-12-03
F00672,Manual,2024-12-14
F00673,BaseDatos,2024-07-17
F00674,Archivo,2025-01-19
F00675,Web,2025-03-20
F00676,Archivo,2024-09-28
F00677,API,2024-05-04
F00678,Web,2024-04-17
F00679,Archivo,2025-09-15
F00680,API,2024-09-08
F00681,API,2025-03-23
F00682,Archivo,2024-10-12
F00683,Web,2024-04-19
F00684,API,2025-07-15
F00685,Manual,2025-02-27
F00686,Archivo,2024-05-03
F00687,API,2024-11-15
F00688,Manual,2025-08-05
F00689,API,2025-08-16
F00690,Archivo,2025-03-03
F00691,BaseDatos,2025-04-13
F00692,Archivo,2024-07-29
F00693,BaseDatos,2025-06-16
F00694,BaseDatos,2025-08-17
F00695,BaseDatos,2025-09-08
F00696,Web,2024-05-21
F00697,API,2024-11-01
F00698,Archivo,2024-02-23
F00699,BaseDatos,2025-06-01
F00700,API,2024-02-14
F00701,API,2024-04-29
F00702,Web,2025-03-27
F00703,Archivo,2024-06-26
F00704,BaseDatos,2025-05-13
F00705,Manual,2024-06-11
F00706,Web,2025-02-07
F00707,BaseDatos,2024-05-25
F00708,Manual,2025-08-02
F00709,Archivo,2024-02-16
F00710,API,2024-02-14
F00711,Manual,2025-05-23
F00712,BaseDatos,2025-05-01
F00713,Archivo,2025-08-18
F00714,Manual,2024-07-09
F00715,Archivo,2025-08-27
F00716,BaseDatos,2024-10-13
F00717,Web,2024-06-30
F00718,Archivo,2023-11-08
F00719,API,2024-11-10
F00720,Archivo,2025-02-02
F00721,Archivo,2024-02-25
F00722,API,2024-06-22
F00723,API,2024-09-09
F00724,API,2024-05-24
F00725,BaseDatos,2024-12-12
F00726,Manual,2023-12-19
F00727,BaseDatos,2024-08-11
F00728,API,2025-03-31
F00729,Manual,2025-07-23
F00730,BaseDatos,2023-10-10
F00731,BaseDatos,2025-07-20
F00732,Archivo,2024-09-09
F00733,BaseDatos,2024-07-17
F00734,API,2025-05-03
F00735,Manual,2024-05-16
F00736,API,2025-09-21
F00737,API,2025-01-24
F00738,Archivo,2025-04-10
F00739,Manual,2025-01-26
F00740,Manual,2025-06-02
F00741,BaseDatos,2024-10-28
F00742,BaseDatos,2025-01-07
F00743,BaseDatos,2025-05-17
F00744,BaseDatos,2024-05-31
F00745,Archivo,2023-10-18
F00746,Manual,2023-12-02
F00747,BaseDatos,2024-02-18
F00748,Archivo,2025-05-17
F00749,Manual,2023-10-10
F00750,Manual,2024-06-24
F00751,Manual,2025-01-13
F00752,BaseDatos,2024-12-18
F00753,BaseDatos,2024-04-06
F00754,API,2025-06-26
F00755,Archivo,2025-08-15
F00756,Web,2025-08-03
F00757,Archivo,2024-09-09
F00758,API,2023-09-30
F00759,Manual,2024-08-23
F00760,API,2023-09-29
F00761,Archivo,2025-04-10
F00762,Archivo,2024-07-11
F00763,Web,2024-07-07
F00764,Web,2024-12-15
F00765,Web,2024-07-11
F00766,Manual,2025-08-16
F00767,BaseDatos,2024-11-13
F00768,BaseDatos,2024-02-15
F00769,BaseDatos,2024-05-18
F00770,Manual,2025-06-18
F00771,Archivo,2024-03-12
F00772,BaseDatos,2023-11-16
F00773,Archivo,2024-08-31
F00774,BaseDatos,2024-07-29
F00775,Web,2025-09-24
F00776,Archivo,2025-04-05
F00777,API,2025-09-17
F00778,Manual,2025-03-26
F00779,BaseDatos,2025-01-08
F00780,Web,2025-07-29
F00781,Manual,2025-01-18
F00782,API,2024-09-23
F00783,Manual,2023-11-06
F00784,Archivo,2024-02-12
F00785,API,2025-01-07
F00786,API,2023-11-19
F00787,Manual,2025-07-21
F00788,Archivo,2024-08-14
F00789,API,2023-11-24
F00790,BaseDatos,2025-02-17
F00791,Manual,2025-07-10
F00792,Web,2024-12-30
F00793,Manual,2024-03-22
F00794,Web,2024-09-25
F00795,Manual,2024-08-07
F00796,Archivo,2024-07-16
F00797,BaseDatos,2024-10-14
F00798,Archivo,2025-05-03
F00799,Manual,2025-08-25
F00800,Web,2024-05-01
F00801,API,2024-08-13
F00802,Web,2023-10-24
F00803,BaseDatos,2025-06-16
F00804,Archivo,2025-07-26
F00805,Manual,2024-08-02
F00806,Manual,2024-05-12
F00807,Manual,2025-03-22
F00808,Manual,2025-07-16
F00809,Web,2025-01-23
F00810,API,2023-10-27
F00811,API,2025-08-01
F00812,Archivo,2023-12-28
F00813,Manual,2024-10-16
F00814,BaseDatos,2024-07-27
F00815,API,2025-09-17
F00816,Archivo,2025-01-19
F00817,Manual,2023-12-25
F00818,Manual,2024-10-27
F00819,Archivo,2023-12-01
F00820,BaseDatos,2024-12-10
F00821,BaseDatos,2024-05-02
F00822,Archivo,2024-05-04
F00823,Manual,2024-07-25
F00824,Manual,2024-11-22
F00825,BaseDatos,2025-01-12
F00826,Manual,2024-09-28
F00827,API,2024-08-10
F00828,Manual,2024-11-09
F00829,API,2024-05-27
F00830,Manual,2024-01-30
F00831,Web,2023-12-28
F00832,API,2024-11-12
F00833,Manual,2024-07-05
F00834,API,2025-09-19
F00835,API,2025-06-18
F00836,Manual,2024-01-20
F00837,API,2024-11-29
F00838,Web,2023-11-04
F00839,BaseDatos,2024-09-26
F00840,API,2024-10-22
F00841,API,2024-08-21
F00842,BaseDatos,2025-04-05
F00843,Web,2023-11-18
F00844,BaseDatos,2024-04-11
F00845,Manual,2023-10-26
F00846,Web,2024-03-03
F00847,API,2023-12-13
F00848,Archivo,2025-09-08
F00849,BaseDatos,2024-10-01
F00850,API,2024-08-08
F00851,API,2024-09-02
F00852,API,2024-07-03
F00853,Web,2025-02-16
F00854,BaseDatos,2023-10-04
F00855,Web,2024-08-31
F00856,API,2024-04-11
F00857,Manual,2024-10-27
F00858,Manual,2024-12-09
F00859,Web,2024-05-16
F00860,Web,2024-02-06
F00861,BaseDatos,2025-03-30
F00862,Archivo,2025-04-10
F00863,Archivo,2024-11-11
F00864,API,2025-06-12
F00865,BaseDatos,2024-11-17
F00866,Manual,2025-09-07
F00867,BaseDatos,2024-12-10
F00868,API,2024-01-13
F00869,Manual,2025-08-20
F00870,Web,2025-08-24
F00871,API,2024-03-17
F00872,API,2023-10-05
F00873,Web,2025-06-10
F00874,Manual,2025-02-12
F00875,Archivo,2024-08-27
F00876,Archivo,2024-04-11
F00877,Web,2024-04-19
F00878,Web,2025-07-30
F00879,Archivo,2025-04-05
F00880,Archivo,2025-03-07
F00881,Archivo,2024-03-26
F00882,BaseDatos,2024-02-19
F00883,Web,2024-09-27
F00884,Archivo,2024-03-22
F00885,Manual,2024-04-15
F00886,API,2025-07-18
F00887,Archivo,2024-09-13
F00888,API,2024-07-12
F00889,BaseDatos,2024-08-10
F00890,Archivo,2023-10-05
F00891,Web,2025-07-16
F00892,Manual,2025-04-13
F00893,Archivo,2023-12-28
F00894,Manual,2025-05-22
F00895,BaseDatos,2025-06-13
F00896,BaseDatos,2023-10-20
F00897,API,2025-06-30
F00898,Web,2025-02-05
F00899,Archivo,2024-01-02
F00900,Manual,2023-12-28
F00901,API,2024-03-13
F00902,Manual,2025-07-14
F00903,API,2024-11-21
F00904,Manual,2024-05-19
F00905,Manual,2024-01-03
F00906,Web,2025-03-28
F00907,API,2024-10-07
F00908,Web,2025-02-25
F00909,Web,2024-01-25
F00910,Manual,2024-05-31
F00911,Archivo,2024-10-07
F00912,Manual,2024-12-24
F00913,Archivo,2025-06-08
F00914,Archivo,2025-06-19
